Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
54,"Sham, Richard Y. M.","Cheung, Lincoln","Low, Sue Yeung",,,,,,,,"BUTTERWORTHS Hong Kong copyright law handbook : Copyright Ordinance (Cap 528) = 版權條例(第528章) / annotated by Richard Y.M. Sham, Lincoln Cheung ; legal edited by Low Sue Yeung.",4th ed.,,Hong Kong,LexisNexis,2017,,"xxxix, 638 p. ; 25 cm.",Glossary,978-988-8388-91-2 (pbk.),,$1800.00,2017-02321
55,Capital VC Limited,,,,,,,,,,Capital VC Limited annual report 2015/16 = 首都創投有限公司2015/16年報.,,,Hong Kong,Capital VC Limited,2017,,104 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-02371
56,"Wat, Karen Hong Yun",,,,,,,,,,CARING for elderly with dementia : guide to foreign domestic helper / contributed by Wat Hong Yun Karen ... [et al.].,,,Hong Kong,Kwai Chung Hospital,2016,,55 p. : ill. (some col.) ; 21 cm.,,978-988-14202-0-6 (pbk.),,Unpriced,2017-00930
57,Carrianna Group Holdings Company Limited,,,,,,,,,,Carrianna Group Holdings Company Limited interim report 2016/2017 = 佳寧娜集團控股有限公司2016/2017中期報告.,,,Hong Kong,Carrianna Group Holdings Company Limited,2016,,52 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01500
58,Census and Statistics Department,,,,,,,,,,Gross domestic product 2016 / Census and Statistics Department.,,,Hong Kong,Census and Statistics Department,2017,,149 p. ; 30 cm.,,,,Unpriced (pbk.),2017-02799
59,Century Ginwa Retail Holdings Limited,,,,,,,,,,Century Ginwa Retail Holdings Limited 2016/17 interim report = 世紀金花商業控股有限公司2016/17中期報告.,,,Hong Kong,Century Ginwa Retail Holdings Limited,2016,,84 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01484
60,CGN Mining Company Limited,,,,,,,,,,"CGN Mining Company Limited continuing connected transactions : new sales framework agreement; major and continuing connected transactions : new financial service framework agreement and notice of extraordinary general meeting, 9 December 2016 = 中廣核礦業有限公司持續關連交易 : 新銷售框架協議; 主要及持續關連交易 : 新財務服務框架協議及股東特別大會通告, 2016年12月9日.",,,Hong Kong,CGN Mining Company Limited,2016,,various paging ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01280
61,"Chan, Kara",,,,,,,,,,Social issues of advertising / Kara Chan.,,,Hong Kong,City University of Hong Kong Press,2017,,"xix, 216 p. : ill. ; 26 cm.",Includes bibliographical references,978-962-937-283-5 (pbk.),,$228.00,2017-00754
62,"Chan, Sai Lok","Choi, Mickey",,,,,,,,,"Journey for Active Minds : Jockey Club Museum Programme for the Elderly = 耆趣藝遊 : 賽馬會健腦行計劃 / edited and written by Chan Sai Lok, Mickey Choi.",,,Hong Kong,Art in Hospital Limited,2016,,101 p. : col. ill. ; 27 cm.,Text in Chinese and English,978-988-98189-4-4 (pbk.),,Unpriced,2017-01111
63,"Char, Dionne",,,,,,,,,,Saving Baby Blue / written & illustrated by Dionne Char.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-14872-7-8 (pbk.),,$130.00,2017-01829
64,"Chau, Freya",,,,,,,,,,Be a polite person / written & illustrated by Freya Chau.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-14872-4-7 (pbk.),,$130.00,2017-01581
65,Chen Hsong Holdings Limited,,,,,,,,,,Chen Hsong Holdings Limited 2016/2017 interim report = 震雄集團有限公司2016/2017中期報告.,,,Hong Kong,Chen Hsong Holdings Limited,2016,,"40, 40 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00590
66,"Chen, Song-chuan",,,,,,,,,,Merchants of war and peace : British knowledge of China in the making of the Opium War / Song-chuan Chen.,,,Hong Kong,Hong Kong University Press,2017,,"ix, 230 p. : ill. ; 24 cm.",Includes bibliographical references and index,978-988-8390-56-4,,$375.00,2017-01438
67,"Cheng, Benn",,,,,,,,,,Parasites devouring the lion : thoughts on Buddhist feminism & humanistic Buddhism / Benn Cheng.,,,Hong Kong,Sukhavati Kendra Dharma Foundation Limited,2017,,103 p. ; 19 cm.,Includes bibliographical references,978-988-77910-4-1 (pbk.),,$70.00,2017-02578
68,CHerish Holdings Limited,,,,,,,,,,CHerish Holdings Limited interim report 2016 = 東盈控股有限公司中期報告2016.,,,Hong Kong,CHerish Holdings Limited,2016,,"22, 22 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00585
69,"Cheung, Charmaine",,,,,,,,,,Sleek & cheesy / Charmaine Cheung.,2nd ed.,,Hong Kong,ET Press,2017,,189 p. : col. ill. ; 25 cm.,Text in Chinese and English,978-962-678-935-3,,$188.00,2017-01888
70,"Cheung, Stephen Y. L.","Stouraitis, Aris",,,,,,,,,"Report on the HKIoD corporate governance score-card 2016 = 香港董事學會上市公司企業管治水準報告2016 / Stephen Y.L. Cheung, Aris Stouraitis.",,,Hong Kong,The Hong Kong Institute of Directors Limited,2016,,"45, 28 p. : charts ; 21 cm.",Text in Chinese and English,978-988-18910-5-1 (pbk.),,$200.00,2017-02234
71,China 33 Media Group Limited,,,,,,,,,,China 33 Media Group Limited third quarterly report 2016 = 中國三三傳媒集團有限公司第三季度業績報告2016.,,,Hong Kong,China 33 Media Group Limited,2016,,"16, 16 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00050
72,China Baoli Technologies Holdings Limited,,,,,,,,,,China Baoli Technologies Holdings Limited interim report 2016 = 中國寶力科技控股有限公司中期報告2016.,,,Hong Kong,China Baoli Technologies Holdings Limited,2016,,40 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01483
73,China Bio Cassava Holdings Limited,,,,,,,,,,China Bio Cassava Holdings Limited third quarterly report 2016 = 中國生物資源控股有限公司第三季度報告2016.,,,Hong Kong,China Bio Cassava Holdings Limited,2016,,"17, 17 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01225
74,China Dynamics (Holdings) Limited,,,,,,,,,,China Dynamics (Holdings) Limited 2016/17 interim report = 中國動力(控股)有限公司2016/17中期報告.,,,Hong Kong,China Dynamics (Holdings) Limited,2016,,"50, 50 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00577
75,China Eco-Farming Limited,,,,,,,,,,China Eco-Farming Limited third quarterly report 2016 = 中國農業生態有限公司第三季度業績報告2016.,,,Hong Kong,China Eco-Farming Limited,2016,,"38, 38 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01208
76,China Environmental Energy Investment Limited,,,,,,,,,,China Environmental Energy Investment Limited interim report 2016/17 = 中國環保能源投資有限公司中期報告2016/17.,,,Hong Kong,China Environmental Energy Investment Limited,2016,,"48, 48 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00583
77,China Environmental Resources Group Limited,,,,,,,,,,China Environmental Resources Group Limited 2016 annual report = 中國環境資源集團有限公司2016年報.,,,Hong Kong,China Environmental Resources Group Limited,2016,,108 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01286
78,China Environmental Resources Group Limited,,,,,,,,,,"China Environmental Resources Group Limited proposals for re-election of retiring directors and general mandates to issue shares and to repurchase shares and notice of annual general meeting, 7 October 2016 = 中國環境資源集團有限公司建議重選退任董事及發行股份及購回股份的一般授權及股東週年大會通告, 二零一六年十月七日.",,,Hong Kong,China Environmental Resources Group Limited,2016,,"i, 19, i, 19 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01263
79,China Fortune Financial Group Limited,,,,,,,,,,"China Fortune Financial Group Limited (1) Amended proposal for subscription of convertible bonds under specific mandate and connected transaction, (2) Proposed capital reorganisation and (3) Notice of extraordinary general meeting, 13 December 2016 = 中國富強金融集團有限公司 (1) 根據特定授權認購可換股債券之經修訂建議及關連交易 (2) 建議股本重組及 (3) 股東特別大會通告, 二零一六年十二月十三日.",,,Hong Kong,China Fortune Financial Group Limited,2016,,various paging ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01246
80,China Fortune Financial Group Limited,,,,,,,,,,"China Fortune Financial Group Limited (1) Subscription of convertible bonds under specific mandate (2) Proposed capital reorganisation and (3) Notice of extraordinary general meeting, 7 October 2016 = 中國富強金融集團有限公司 (1) 根據特定授權認購可換股債券 (2) 建議股本重組及 (3) 股東特別大會通告, 二零一六年十月七日.",,,Hong Kong,China Fortune Financial Group Limited,2016,,"ii, 27, ii, 27 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01257
81,China Fortune Financial Group Limited,,,,,,,,,,China Fortune Financial Group Limited interim report 2016 = 中國富強金融集團有限公司中期報告2016.,,,Hong Kong,China Fortune Financial Group Limited,2016,,"38, 38 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01302
82,China Hanya Group Holdings Limited,,,,,,,,,,China Hanya Group Holdings Limited annual report 2016 = 中國瀚亞集團控股有限公司年報2016.,,,Hong Kong,China Hanya Group Holdings Limited,2016,,"76, 76 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01294
83,China Hanya Group Holdings Limited,,,,,,,,,,"China Hanya Group Holdings Limited proposals for general mandates to issue shares and to repurchase shares, re-election of retiring directors and notice of annual general meeting, Hong Kong, 30 December 2016 = 中國瀚亞集團控股有限公司建議發行股份及回購股份的一般授權 重選退任董事及股東週年大會通告, 二零一六年十二月三十日.",,,Hong Kong,China Hanya Group Holdings Limited,2016,,"ii, 21, ii, 21 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01247
84,China-Hongkong Photo Products Holdings Limited,,,,,,,,,,China-Hongkong Photo Products Holdings Limited 2016/17 interim report = 中港照相器材集團有限公司2016/17中期業績報告.,,,Hong Kong,China-Hongkong Photo Products Holdings Limited,2016,,36 p. ; 30 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-00562
85,China Huishan Dairy Holdings Company Limited,,,,,,,,,,China Huishan Dairy Holdings Company Limited 2016/2017 interim report = 中國輝山乳業控股有限公司2016/2017中期報告.,,,Hong Kong,China Huishan Dairy Holdings Company Limited,2016,,"84, 84 p. : col. ill. ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01492
86,China Investment Development Limited,,,,,,,,,,China Investment Development Limited interim report 2016 = 中國投資開發有限公司中期報告2016.,,,Hong Kong,China Investment Development Limited,2016,,"28, 28 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01222
87,China Maple Leaf Educational Systems Limited,,,,,,,,,,China Maple Leaf Educational Systems Limited annual report 2016 = 中國楓葉教育集團有限公司年度報告2016.,,,Hong Kong,China Maple Leaf Educational Systems Limited,2016,,"148, 148 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01493
